Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2019-09-22T06:28:54.514850Z,,CASH TOP-UP,,,$400 ,USD,1.1079
2019-09-24T16:44:01.634714Z,TSLA,BUY - MARKET,1.77533176,$225.31 ,$400 ,USD,1.1017
2019-11-11T23:05:44.888946Z,,CUSTODY FEE,,,($0.01),USD,1.1035
2019-11-24T22:13:27.109412Z,,CASH TOP-UP,,,$0.01 ,USD,1.1077
2019-12-09T23:06:37.745856Z,,CUSTODY FEE,,,($0.01),USD,1.1066
2019-12-22T11:30:34.552914Z,,CASH TOP-UP,,,$0.01 ,USD,1.1137
2019-12-31T23:09:33.268770Z,,CUSTODY FEE,,,($0.01),USD,1.123
2020-01-07T09:02:53.878790Z,,CASH TOP-UP,,,$0.01 ,USD,1.1188
2020-01-31T23:06:04.352487Z,,CUSTODY FEE,,,($0.01),USD,1.1097
2020-02-10T20:16:30.194656Z,TSLA,SELL - MARKET,1.77533176,$779.77 ,"$1,384.31 ",USD,1.0915
2020-02-10T20:25:49.939872Z,VTLE,BUY - MARKET,618.5802469,$1.62 ,"$1,000 ",USD,1.0913
2020-02-10T20:39:50.254592Z,BABA,BUY - MARKET,1.78379131,$215.44 ,$384.30 ,USD,1.0912
2020-02-28T19:57:49.072713Z,,CASH TOP-UP,,,"$1,500 ",USD,1.1029
2020-02-28T19:58:33.447813Z,TSLA,BUY - MARKET,2.31481481,$648 ,"$1,500 ",USD,1.103
2020-02-29T23:05:26.377291Z,,CUSTODY FEE,,,($0.02),USD,1.1085
2020-03-31T23:19:53.134761Z,,CUSTODY FEE,,,($0.01),USD,1.1031
2020-04-06T19:18:42.040302Z,,CASH TOP-UP,,,$0.03 ,USD,1.0787
2020-04-30T23:31:28.761001Z,,CUSTODY FEE,,,($0.02),USD,1.0943
2020-05-11T03:40:34.626150Z,,CASH TOP-UP,,,$20 ,USD,1.0848
2020-05-14T18:42:34.190887Z,TSLA,SELL - MARKET,2.31481481,$787.27 ,"$1,822.33 ",USD,1.0784
2020-05-27T19:59:42.402798Z,V,BUY - MARKET,4.15023863,$192.76 ,$800 ,USD,1.1
