Date,Ticker,Type,Quantity,Price per share,Total Amount,Currency,FX Rate
2020-02-13T17:30:48.916778Z,,CASH TOP-UP,,,$500,USD,1.0843
2020-02-13T17:31:54.263895Z,SPCE,BUY - MARKET,15,$24.40,$366,USD,1.0843
2020-02-13T17:35:20.405105Z,,CASH TOP-UP,,,$300,USD,1.0845
2020-02-13T17:49:04.160511Z,AMD,BUY - MARKET,7,$54.47,$381.29,USD,1.0842
2020-02-29T23:15:07.265563Z,,CUSTODY FEE,,,-$0.01,USD,1.1085
2020-03-17T17:51:47.795192Z,HST,BUY - MARKET,5.46218487,$9.52,$52,USD,1.0982
2020-04-08T23:14:43.036914Z,,CUSTODY FEE,,,-$0.01,USD,1.0862
2020-04-12T17:19:36.894634Z,,CASH TOP-UP,,,$700,USD,1.0996
2020-04-15T18:51:13.962747Z,AAL,BUY - MARKET,56.95931651,$12.29,$700,USD,1.0931
2020-04-16T06:00:34.881929Z,HST,DIVIDEND,,,$0.93,USD,1.0887
2020-04-16T14:35:40.743777Z,,CASH TOP-UP,,,"$2,000",USD,1.0879
2020-04-16T14:36:27.653200Z,AAL,BUY - MARKET,175.90325417,$11.37,"$2,000",USD,1.0878
2020-04-28T16:24:35.644440Z,,CASH TOP-UP,,,"$1,000",USD,1.0835
2020-04-28T16:25:20.908641Z,AAL,BUY - MARKET,92.14627414,$10.87,"$1,001.62",USD,1.0835
2020-04-30T23:26:46.239351Z,,CUSTODY FEE,,,-$0.04,USD,1.0945
2020-05-02T08:51:27.319916Z,,CASH TOP-UP,,,$0.04,USD,1.1040
2020-05-02T08:51:42.409302Z,,CASH TOP-UP,,,"$3,000",USD,1.1040
2020-05-02T10:06:13.153983Z,,CASH TOP-UP,,,"$2,500",USD,1.1040
2020-05-04T13:47:14.333764Z,AAL,BUY - MARKET,327.51091703,$9.16,"$3,000",USD,1.0932
2020-05-04T14:10:05.456216Z,UAL,BUY - MARKET,102.17082141,$24.47,"$2,500",USD,1.0932
2020-05-06T15:32:37.202443Z,,CASH TOP-UP,,,"$3,000",USD,1.0806
2020-05-06T15:39:52.035913Z,UAL,BUY - MARKET,131.51363236,$22.74,"$2,991.07",USD,1.0802
2020-05-31T23:11:49.441583Z,,CUSTODY FEE,,,-$0.12,USD,1.1118
2020-06-30T23:38:42.207787Z,,CUSTODY FEE,,,-$0.14,USD,1.1236
2020-07-31T23:25:26.110882Z,,CUSTODY FEE,,,-$0.13,USD,1.1837
2020-08-27T11:45:44.021112Z,,CASH TOP-UP,,,"$6,000",USD,1.1815
2020-08-27T11:50:01.886873Z,,CASH TOP-UP,,,"$3,000",USD,1.1819
2020-08-27T13:30:12.435741Z,TSLA,BUY - MARKET,2.29148621,"$2,181.99","$5,000",USD,1.1879
2020-08-27T13:30:32.426823Z,AAPL,BUY - MARKET,5.89970501,$508.50,"$3,000",USD,1.1874
2020-08-27T13:30:35.061382Z,AAPL,BUY - MARKET,1.96656833,$508.50,"$1,000",USD,1.1874
2020-08-31T08:18:33.979192Z,TSLA,STOCK SPLIT,9.16594484,,$0,USD,1.1897
2020-08-31T08:26:19.040370Z,AAPL,STOCK SPLIT,23.59882002,,$0,USD,1.1898
2020-08-31T23:26:20.332107Z,,CUSTODY FEE,,,-$0.17,USD,1.1940
2020-09-02T13:41:20.032646Z,AMD,SELL - MARKET,7,$92.40,$645.60,USD,1.1838
2020-09-02T13:42:31.987590Z,TSLA,BUY - MARKET,1.40464613,$462.75,$651.18,USD,1.1841
2020-09-30T23:46:07.891237Z,,CUSTODY FEE,,,-$0.21,USD,1.1728
2020-10-31T23:35:18.466335Z,,CUSTODY FEE,,,-$0.20,USD,1.1764
2020-11-13T07:42:36.973482Z,AAPL,DIVIDEND,,,$5.48,USD,1.1817
2020-11-19T14:30:08.933359Z,HST,SELL - MARKET,5.46218487,$13.97,$76.30,USD,1.1826
2020-11-19T14:30:16.310262Z,UAL,SELL - MARKET,233.68445377,$40.95,"$9,569.14",USD,1.1826
2020-11-19T14:30:21.610386Z,TSLA,SELL - MARKET,12.86207718,$491.97,"$6,327.61",USD,1.1826
2020-12-01T00:24:39.511038Z,,CUSTODY FEE,,,-$0.11,USD,1.1940
2020-12-02T17:30:44.345661Z,SPCE,SELL - MARKET,15,$27.25,$408.73,USD,1.2097
2020-12-03T15:47:52.640055Z,AAL,SELL - MARKET,652.51976185,$15.99,"$10,436.54",USD,1.2176
2020-12-16T18:40:06.265257Z,AAPL,SELL - MARKET,31.46509336,$127.77,"$4,020.19",USD,1.2177
2020-12-18T13:23:22.823445Z,,CASH WITHDRAWAL,,,"-$30,846.26",USD,1.2258
2021-01-07T18:35:12.091799Z,,CASH TOP-UP,,,"$10,000",USD,1.2279
2021-01-07T18:35:44.115786Z,NIO,BUY - MARKET,183.82389705,$54.40,"$10,000",USD,1.2279
2021-01-07T18:38:46.441498Z,,CASH TOP-UP,,,"$10,000",USD,1.2277
2021-01-07T18:39:15.058590Z,XPEV,BUY - MARKET,225.78505305,$44.29,"$10,000",USD,1.2277
2021-01-11T11:36:55.314258Z,,CASH TOP-UP,,,"$10,000",USD,1.2169
2021-01-11T14:43:34.900867Z,NIO,BUY - MARKET,153.86397907,$64.99,"$10,000",USD,1.2155
2021-01-13T15:02:15.525970Z,XPEV,SELL - MARKET,225.78505305,$50.60,"$11,422.33",USD,1.2164
2021-01-13T17:39:11.457175Z,PLUG,BUY - MARKET,141.95145493,$70.45,"$10,001.21",USD,1.2163
2021-01-19T18:14:29.531875Z,GME,BUY - MARKET,33.47728359,$41.82,"$1,401.21",USD,1.2126
2021-01-20T18:03:01.536790Z,,CASH TOP-UP,,,"$10,000",USD,1.2110
2021-01-20T18:03:16.833627Z,NIO,BUY - MARKET,174.20031353,$57.41,"$10,001.21",USD,1.2110
2021-01-21T16:50:30.376112Z,GME,SELL - MARKET,33.47728359,$42.38,"$1,417.52",USD,1.2147
2021-01-21T16:51:27.122399Z,XPEV,BUY - MARKET,25.51020408,$54.88,"$1,401.21",USD,1.2146
2021-01-28T15:15:44.525411Z,,CASH TOP-UP,,,$500,USD,1.2142
2021-01-28T15:40:43.413908Z,PLUG,BUY - MARKET,8.16295392,$65.54,$535,USD,1.2139
2021-02-01T03:21:03.124703Z,,CUSTODY FEE,,,-$0.33,USD,1.2132
2021-02-02T12:11:36.827941Z,,CASH TOP-UP,,,$0.32,USD,1.2035
2021-02-02T12:13:21.724291Z,,CASH TOP-UP,,,"$9,500",USD,1.2036
2021-02-02T14:32:43.339941Z,WKHS,BUY - MARKET,250.52560718,$37.88,"$9,490",USD,1.2042
2021-02-04T17:11:30.568094Z,WKHS,SELL - MARKET,250.52560718,$40.11,"$10,048.36",USD,1.1972
2021-02-04T17:14:12.812788Z,APPS,BUY - MARKET,121.58066869,$82.25,"$10,001.19",USD,1.1972
2021-02-05T15:57:30.577458Z,APPS,SELL - MARKET,121.58066869,$86.82,"$10,554.20",USD,1.2028
2021-02-05T16:20:11.087500Z,XPEV,BUY - MARKET,211.999152,$47.17,"$10,001.20",USD,1.2030
2021-02-08T20:00:31.241542Z,REGI,BUY - MARKET,5.27518902,$113.74,$601.20,USD,1.2058
2021-02-09T20:02:29.096937Z,NIO,SELL - MARKET,511.88818965,$62.52,"$32,002.48",USD,1.2120
2021-02-09T20:11:55.410314Z,PLTR,BUY - MARKET,263.15868421,$38,"$10,000",USD,1.2121
2021-02-09T20:12:31.496718Z,REGI,BUY - MARKET,88.55827134,$112.92,"$10,000",USD,1.2121
2021-02-09T20:14:13.911999Z,SPWRQ,BUY - MARKET,204.33183489,$48.94,"$10,000",USD,1.2121
2021-02-11T16:05:47.266942Z,SPWRQ,SELL - MARKET,204.33183489,$51.62,"$10,547.36",USD,1.2132
2021-02-11T16:07:00.322172Z,NIO,BUY - MARKET,161.68148746,$61.85,"$10,000",USD,1.2132
2021-02-11T16:07:46.843404Z,NIO,BUY - MARKET,41.12903225,$62,"$2,550",USD,1.2131
2021-03-01T00:25:40.530737Z,,CUSTODY FEE,,,-$0.32,USD,1.2093
2021-03-01T15:58:41.826958Z,,CASH TOP-UP,,,"$9,000",USD,1.2054
2021-03-01T15:58:49.364285Z,,CASH TOP-UP,,,"$1,000",USD,1.2055
2021-03-01T15:59:00.757865Z,NIO,BUY - MARKET,202.88131466,$49.29,"$10,000",USD,1.2055
2021-04-01T00:55:55.064149Z,,CUSTODY FEE,,,-$4.22,USD,1.1732
2021-05-01T03:48:23.083726Z,,CUSTODY FEE,,,-$3.90,USD,1.2142
2021-06-01T05:04:58.877926Z,,CUSTODY FEE,,,-$3.97,USD,1.2226
